SC,SN,CC,CN,LAKE,YR,POP,USUR,USURL,USAL,UGW,UREC,URES,UIND,UTOT,UPOP,ASUR,ASURL,ASAL,AGW,AREC,ATOT,ISUR,ISURL,ISAL,IGW,IREC,ITOT,PSUR,PSURL,PSAL,PGW,PREC,PTOT,OPSF,OPSURL,OPSS,OPGW,OPTOT,SUR,SURL,SAL,GW,REC,ALL,PGEN,PSALO,PGENO,PTOTO,PGENR,SSUR,SSAL,SGW,STOT,RC,RN
32 , Nevada ,  ,  ,  , 2010 , 1951 , 387 , 0 , 0 , 67 , 0 , 439 , 0 , 454 , 1878 , 4 , 0 , 0 , 10 , 2 , 17 , 7 , 0 , 0 , 3 , 0 , 10 , 3 , 0 , 0 , 5 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , 401 , 0 , 0 , 85 , 2 , 489 , 3580 , 0 , 0 , 0 , 3580 , 0 , 0 , 15 , 15 , 5 , Nevada South
32 , Nevada ,  ,  ,  , 2010 , 59 , 0 , 0 , 0 , 13 , 0 , 8 , 0 , 13 , 30 , 27 , 0 , 0 , 129 , 1 , 159 , 0 , 0 , 0 , 67 , 0 , 67 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 28 , 0 , 0 , 210 , 1 , 239 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 5 , 6 , Nevada In Basin
35 , New Mexico ,  ,  ,  , 2010 , 1085 , 44 , 0 , 0 , 105 , 0 , 138 , 0 , 150 , 953 , 421 , 0 , 0 , 69 , 0 , 490 , 4 , 0 , 0 , 10 , 0 , 14 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 470 , 0 , 0 , 186 , 0 , 657 , 77 , 0 , 0 , 0 , 77 , 0 , 0 , 11 , 11 , 20 , New Mexico Central
35 , New Mexico ,  ,  ,  , 2010 , 91 , 0 , 0 , 0 , 13 , 0 , 12 , 0 , 13 , 63 , 113 , 0 , 0 , 105 , 0 , 220 , 5 , 0 , 0 , 10 , 0 , 14 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 119 , 0 , 0 , 130 , 0 , 249 , 715 , 0 , 0 , 0 , 715 , 0 , 0 , 2 , 2 , 25 , New Mexico Gila
35 , New Mexico ,  ,  ,  , 2010 , 644 , 10 , 0 , 0 , 110 , 0 , 110 , 0 , 120 , 575 , 547 , 0 , 0 , 1094 , 0 , 1642 , 0 , 0 , 0 , 12 , 0 , 12 , 0 , 0 , 0 , 5 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 557 , 0 , 0 , 1218 , 0 , 1778 , 3047 , 0 , 0 , 0 , 3047 , 0 , 0 , 6 , 6 , 22 , New Mexico Not In Basin
35 , New Mexico ,  ,  ,  , 2010 , 241 , 18 , 0 , 0 , 11 , 0 , 24 , 0 , 29 , 164 , 381 , 0 , 0 , 2 , 0 , 384 , 1 , 0 , 0 , 3 , 0 , 5 , 42 , 0 , 0 , 3 , 0 , 45 , 0 , 0 , 0 , 0 , 0 , 443 , 0 , 0 , 20 , 0 , 464 , 25877 , 0 , 0 , 0 , 25877 , 0 , 0 , 6 , 6 , 21 , New Mexico In Basin
49 , Utah ,  ,  ,  , 2010 , 668 , 30 , 0 , 0 , 143 , 0 , 169 , 0 , 173 , 649 , 1138 , 0 , 0 , 450 , 7 , 1596 , 16 , 0 , 205 , 54 , 0 , 275 , 18 , 0 , 0 , 20 , 0 , 38 , 0 , 0 , 0 , 0 , 0 , 1203 , 0 , 205 , 667 , 7 , 2081 , 16042 , 0 , 0 , 0 , 16042 , 0 , 0 , 2 , 2 , 13 , Utah Not In Basin
49 , Utah ,  ,  ,  , 2010 , 175 , 8 , 0 , 0 , 36 , 0 , 43 , 0 , 44 , 154 , 1172 , 0 , 0 , 94 , 0 , 1267 , 2 , 0 , 0 , 14 , 0 , 15 , 27 , 0 , 0 , 8 , 0 , 35 , 0 , 0 , 0 , 0 , 0 , 1209 , 0 , 0 , 153 , 0 , 1367 , 20173 , 0 , 0 , 0 , 20173 , 0 , 0 , 2 , 2 , 12 , Utah In Basin
49 , Utah ,  ,  ,  , 2010 , 1922 , 269 , 0 , 0 , 192 , 0 , 461 , 0 , 463 , 1910 , 424 , 0 , 0 , 52 , 5 , 481 , 0 , 0 , 33 , 45 , 0 , 78 , 0 , 0 , 0 , 6 , 1 , 7 , 0 , 0 , 0 , 0 , 0 , 694 , 0 , 34 , 297 , 5 , 1028 , 2693 , 0 , 183 , 0 , 2510 , 0 , 0 , 0 , 0 , 11 , Utah Salt Lake
56 , Wyoming ,  ,  ,  , 2010 , 454 , 31 , 0 , 0 , 51 , 0 , 75 , 0 , 81 , 359 , 2978 , 0 , 0 , 389 , 0 , 3365 , 12 , 0 , 0 , 74 , 0 , 87 , 27 , 0 , 0 , 2 , 0 , 29 , 0 , 0 , 0 , 0 , 0 , 3050 , 0 , 0 , 518 , 0 , 3564 , 19479 , 0 , 0 , 0 , 19479 , 0 , 0 , 3 , 3 , 16 , Wyoming Not In Basin
56 , Wyoming ,  ,  ,  , 2010 , 65 , 7 , 0 , 0 , 7 , 0 , 13 , 0 , 16 , 47 , 893 , 0 , 0 , 44 , 0 , 937 , 0 , 0 , 0 , 2 , 0 , 2 , 9 , 0 , 0 , 0 , 0 , 9 , 0 , 0 , 0 , 0 , 0 , 910 , 0 , 0 , 54 , 0 , 964 , 5339 , 0 , 0 , 0 , 5339 , 0 , 0 , 0 , 0 , 15 , Wyoming In Basin
56 , Wyoming ,  ,  ,  , 2010 , 44 , 10 , 0 , 0 , 0 , 0 , 10 , 0 , 10 , 43 , 91 , 0 , 0 , 11 , 0 , 102 , 1 , 0 , 0 , 32 , 0 , 33 , 24 , 0 , 0 , 0 , 0 , 24 , 0 , 0 , 0 , 0 , 0 , 126 , 0 , 0 , 43 , 0 , 169 , 14829 , 0 , 0 , 0 , 14829 , 0 , 0 , 0 , 0 , 14 , Wyoming Southwest
