YR,COflows,COinflows
1142,15796580,0
1143,14715540,0
1144,14228629,0
1145,14787494,0
1146,12970200,0
1147,9130803,0
1148,10263057,0
1149,11234640,0
1150,9613057,0
1151,11999159,0
1152,12470889,0
1153,12441106,0
1154,11034330,0
1155,14015581,0
1156,15140250,0
1157,12013171,0
1158,12102465,0
1159,16233576,0
1160,17013375,0
1161,13811087,0
1162,14243387,0
1163,17937813,0
1164,15126045,0
1165,11532680,0
1166,10496804,0
1167,12916221,0
1168,12729042,0
1169,12932490,0
1170,14396775,0
1171,13026405,0
1172,13989363,0
1173,15147193,0
1174,13701515,0
1175,11931295,0
1176,12339335,0
1177,13202284,0
1178,16470525,0
1179,18120208,0
1180,23352142,0
1181,22444036,0
1182,16095914,0
1183,16217934,0
1184,22142071,0
1185,15212123,0
1186,12764073,0
1187,15025322,0
1188,17250481,0
1189,15507349,0
1190,17166975,0
1191,15726693,0
1192,21008069,0
1193,15587930,0
1194,13405580,0
1195,15460298,0
1196,16843900,0
1197,18172433,0
1198,12038821,0
1199,12664712,0
1200,11301394,0
1201,13350069,0
1202,12779189,0
1203,18440661,0
1204,19021471,0
1205,15384703,0
1206,14811230,0
1207,13751179,0
1208,15076857,0
1209,19962063,0
1210,16839580,0
1211,18794046,0
1212,13885555,0
1213,16536407,0
1214,16130220,0
1215,15254344,0
1216,11740947,0
1217,7000037,0
1218,12871699,0
1219,20039779,0
1220,16759843,0
1221,15538876,0
1222,14943771,0
1223,13772519,0
1224,13559834,0
1225,14872257,0
1226,19494561,0
1227,12011803,0
1228,17852915,0
1229,17238225,0
1230,13058864,0
1231,18376027,0
1232,14708419,0
1233,11073295,0
1234,9433699,0
1235,15383438,0
1236,10020008,0
1237,14067793,0
1238,19047136,0
1239,15777383,0
1240,15027009,0
1241,19904511,0
1242,19389281,0
1243,14312132,0
1244,14332911,0
1245,9081832,0
1246,12587038,0
1247,12643045,0
1248,17974812,0
1249,18093009,0
1250,13083625,0
1251,6284489,0
1252,13662566,0
1253,13194745,0
1254,9161193,0
1255,15770874,0
1256,18640025,0
1257,15196234,0
1258,4324184,0
1259,18007627,0
1260,19595446,0
1261,16181219,0
1262,11904021,0
1263,11496655,0
1264,11213891,0
1265,14969902,0
1266,14314209,0
1267,17371044,0
1268,18899130,0
1269,19303041,0
1270,12311057,0
1271,17306809,0
1272,18288359,0
1273,11820681,0
1274,6997822,0
1275,18537742,0
1276,13562667,0
1277,12792102,0
1278,14114524,0
1279,9127828,0
1280,4674667,0
1281,13535975,0
1282,15557946,0
1283,10284756,0
1284,17321044,0
1285,11364232,0
1286,9205187,0
1287,15866410,0
1288,12166108,0
1289,14345620,0
1290,21145894,0
1291,14096805,0
1292,12676237,0
1293,13151418,0
1294,12126403,0
1295,9511687,0
1296,15547878,0
1297,13563354,0
1298,20444526,0
